hour,visits,week_start,week_end
9,571,2024-05-13,2024-05-19
10,574,2024-05-13,2024-05-19
11,635,2024-05-13,2024-05-19
12,473,2024-05-13,2024-05-19
13,427,2024-05-13,2024-05-19
14,793,2024-05-13,2024-05-19
15,1216,2024-05-13,2024-05-19
16,1554,2024-05-13,2024-05-19
17,1548,2024-05-13,2024-05-19
18,1102,2024-05-13,2024-05-19
19,815,2024-05-13,2024-05-19
20,279,2024-05-13,2024-05-19
21,176,2024-05-13,2024-05-19
22,71,2024-05-13,2024-05-19
23,0,2024-05-13,2024-05-19
0,0,2024-05-20,2024-05-26
1,35,2024-05-20,2024-05-26
2,84,2024-05-20,2024-05-26
3,84,2024-05-20,2024-05-26
4,245,2024-05-20,2024-05-26
5,150,2024-05-20,2024-05-26
6,227,2024-05-20,2024-05-26
7,301,2024-05-20,2024-05-26
8,368,2024-05-20,2024-05-26
9,317,2024-05-20,2024-05-26
10,659,2024-05-20,2024-05-26
11,813,2024-05-20,2024-05-26
12,630,2024-05-20,2024-05-26
13,772,2024-05-20,2024-05-26
14,874,2024-05-20,2024-05-26
15,1043,2024-05-20,2024-05-26
16,2149,2024-05-20,2024-05-26
17,1946,2024-05-20,2024-05-26
18,1913,2024-05-20,2024-05-26
19,1413,2024-05-20,2024-05-26
20,1017,2024-05-20,2024-05-26
21,505,2024-05-20,2024-05-26
22,179,2024-05-20,2024-05-26
23,95,2024-05-20,2024-05-26
0,47,2024-05-27,2024-06-02
1,127,2024-05-27,2024-06-02
2,0,2024-05-27,2024-06-02
3,0,2024-05-27,2024-06-02
4,0,2024-05-27,2024-06-02
5,0,2024-05-27,2024-06-02
6,30,2024-05-27,2024-06-02
7,526,2024-05-27,2024-06-02
8,846,2024-05-27,2024-06-02
9,1151,2024-05-27,2024-06-02
10,1176,2024-05-27,2024-06-02
11,962,2024-05-27,2024-06-02
12,979,2024-05-27,2024-06-02
13,646,2024-05-27,2024-06-02
14,883,2024-05-27,2024-06-02
15,943,2024-05-27,2024-06-02
16,1337,2024-05-27,2024-06-02
17,1796,2024-05-27,2024-06-02
18,1527,2024-05-27,2024-06-02
19,1295,2024-05-27,2024-06-02
20,801,2024-05-27,2024-06-02
21,409,2024-05-27,2024-06-02
22,126,2024-05-27,2024-06-02
23,0,2024-05-27,2024-06-02
0,94,2024-06-03,2024-06-09
1,30,2024-06-03,2024-06-09
2,44,2024-06-03,2024-06-09
3,44,2024-06-03,2024-06-09
4,0,2024-06-03,2024-06-09
5,0,2024-06-03,2024-06-09
6,60,2024-06-03,2024-06-09
7,337,2024-06-03,2024-06-09
8,526,2024-06-03,2024-06-09
9,234,2024-06-03,2024-06-09
10,227,2024-06-03,2024-06-09
11,203,2024-06-03,2024-06-09
12,132,2024-06-03,2024-06-09
13,112,2024-06-03,2024-06-09
14,236,2024-06-03,2024-06-09
15,613,2024-06-03,2024-06-09
16,682,2024-06-03,2024-06-09
17,974,2024-06-03,2024-06-09
18,911,2024-06-03,2024-06-09
19,1246,2024-06-03,2024-06-09
20,982,2024-06-03,2024-06-09
21,304,2024-06-03,2024-06-09
22,145,2024-06-03,2024-06-09
23,64,2024-06-03,2024-06-09
0,183,2024-06-10,2024-06-16
1,147,2024-06-10,2024-06-16
2,90,2024-06-10,2024-06-16
3,42,2024-06-10,2024-06-16
4,42,2024-06-10,2024-06-16
5,21,2024-06-10,2024-06-16
6,214,2024-06-10,2024-06-16
7,713,2024-06-10,2024-06-16
8,885,2024-06-10,2024-06-16
9,594,2024-06-10,2024-06-16
10,853,2024-06-10,2024-06-16
11,1031,2024-06-10,2024-06-16
12,969,2024-06-10,2024-06-16
13,779,2024-06-10,2024-06-16
14,566,2024-06-10,2024-06-16
15,750,2024-06-10,2024-06-16
16,701,2024-06-10,2024-06-16
17,1071,2024-06-10,2024-06-16
18,1294,2024-06-10,2024-06-16
19,976,2024-06-10,2024-06-16
20,776,2024-06-10,2024-06-16
21,357,2024-06-10,2024-06-16
22,387,2024-06-10,2024-06-16
23,184,2024-06-10,2024-06-16
0,30,2024-06-17,2024-06-23
1,77,2024-06-17,2024-06-23
2,78,2024-06-17,2024-06-23
3,78,2024-06-17,2024-06-23
4,30,2024-06-17,2024-06-23
5,36,2024-06-17,2024-06-23
6,95,2024-06-17,2024-06-23
7,686,2024-06-17,2024-06-23
8,612,2024-06-17,2024-06-23
9,530,2024-06-17,2024-06-23
10,616,2024-06-17,2024-06-23
11,605,2024-06-17,2024-06-23
12,569,2024-06-17,2024-06-23
13,666,2024-06-17,2024-06-23
14,1012,2024-06-17,2024-06-23
15,970,2024-06-17,2024-06-23
16,1005,2024-06-17,2024-06-23
17,1151,2024-06-17,2024-06-23
18,1602,2024-06-17,2024-06-23
19,1510,2024-06-17,2024-06-23
20,1174,2024-06-17,2024-06-23
21,174,2024-06-17,2024-06-23
22,123,2024-06-17,2024-06-23
23,69,2024-06-17,2024-06-23
0,0,2024-06-24,2024-06-30
1,28,2024-06-24,2024-06-30
2,0,2024-06-24,2024-06-30
3,0,2024-06-24,2024-06-30
4,0,2024-06-24,2024-06-30
5,20,2024-06-24,2024-06-30
6,136,2024-06-24,2024-06-30
7,456,2024-06-24,2024-06-30
8,657,2024-06-24,2024-06-30
9,641,2024-06-24,2024-06-30
10,549,2024-06-24,2024-06-30
11,274,2024-06-24,2024-06-30
12,442,2024-06-24,2024-06-30
13,355,2024-06-24,2024-06-30
14,385,2024-06-24,2024-06-30
15,708,2024-06-24,2024-06-30
16,1019,2024-06-24,2024-06-30
17,1276,2024-06-24,2024-06-30
18,1454,2024-06-24,2024-06-30
19,905,2024-06-24,2024-06-30
20,930,2024-06-24,2024-06-30
21,104,2024-06-24,2024-06-30
22,76,2024-06-24,2024-06-30
23,55,2024-06-24,2024-06-30
0,96,2024-07-01,2024-07-07
1,96,2024-07-01,2024-07-07
2,126,2024-07-01,2024-07-07
3,81,2024-07-01,2024-07-07
4,52,2024-07-01,2024-07-07
5,52,2024-07-01,2024-07-07
6,133,2024-07-01,2024-07-07
7,482,2024-07-01,2024-07-07
8,696,2024-07-01,2024-07-07
9,479,2024-07-01,2024-07-07
10,512,2024-07-01,2024-07-07
11,536,2024-07-01,2024-07-07
12,570,2024-07-01,2024-07-07
13,443,2024-07-01,2024-07-07
14,165,2024-07-01,2024-07-07
15,891,2024-07-01,2024-07-07
16,1316,2024-07-01,2024-07-07
17,1328,2024-07-01,2024-07-07
18,1113,2024-07-01,2024-07-07
19,927,2024-07-01,2024-07-07
20,651,2024-07-01,2024-07-07
21,218,2024-07-01,2024-07-07
22,95,2024-07-01,2024-07-07
23,52,2024-07-01,2024-07-07
0,226,2024-07-08,2024-07-14
1,130,2024-07-08,2024-07-14
2,0,2024-07-08,2024-07-14
3,21,2024-07-08,2024-07-14
4,21,2024-07-08,2024-07-14
5,20,2024-07-08,2024-07-14
6,155,2024-07-08,2024-07-14
7,334,2024-07-08,2024-07-14
8,611,2024-07-08,2024-07-14
9,551,2024-07-08,2024-07-14
10,353,2024-07-08,2024-07-14
11,545,2024-07-08,2024-07-14
12,566,2024-07-08,2024-07-14
13,427,2024-07-08,2024-07-14
14,408,2024-07-08,2024-07-14
15,1228,2024-07-08,2024-07-14
16,1741,2024-07-08,2024-07-14
17,1794,2024-07-08,2024-07-14
18,1622,2024-07-08,2024-07-14
19,1025,2024-07-08,2024-07-14
20,900,2024-07-08,2024-07-14
21,245,2024-07-08,2024-07-14
22,58,2024-07-08,2024-07-14
23,133,2024-07-08,2024-07-14
0,64,2024-07-15,2024-07-21
1,0,2024-07-15,2024-07-21
2,32,2024-07-15,2024-07-21
3,32,2024-07-15,2024-07-21
4,32,2024-07-15,2024-07-21
5,100,2024-07-15,2024-07-21
6,230,2024-07-15,2024-07-21
7,460,2024-07-15,2024-07-21
8,673,2024-07-15,2024-07-21
9,471,2024-07-15,2024-07-21
10,325,2024-07-15,2024-07-21
11,429,2024-07-15,2024-07-21
12,274,2024-07-15,2024-07-21
13,516,2024-07-15,2024-07-21
14,337,2024-07-15,2024-07-21
15,508,2024-07-15,2024-07-21
16,961,2024-07-15,2024-07-21
17,1259,2024-07-15,2024-07-21
18,1407,2024-07-15,2024-07-21
19,1437,2024-07-15,2024-07-21
20,1027,2024-07-15,2024-07-21
21,527,2024-07-15,2024-07-21
22,0,2024-07-15,2024-07-21
23,37,2024-07-15,2024-07-21
0,55,2024-07-22,2024-07-28
1,87,2024-07-22,2024-07-28
2,87,2024-07-22,2024-07-28
3,87,2024-07-22,2024-07-28
4,87,2024-07-22,2024-07-28
5,95,2024-07-22,2024-07-28
6,229,2024-07-22,2024-07-28
7,267,2024-07-22,2024-07-28
8,507,2024-07-22,2024-07-28
9,600,2024-07-22,2024-07-28
10,728,2024-07-22,2024-07-28
11,776,2024-07-22,2024-07-28
12,600,2024-07-22,2024-07-28
13,495,2024-07-22,2024-07-28
14,382,2024-07-22,2024-07-28
15,611,2024-07-22,2024-07-28
16,1190,2024-07-22,2024-07-28
17,1795,2024-07-22,2024-07-28
18,2035,2024-07-22,2024-07-28
19,1682,2024-07-22,2024-07-28
20,1136,2024-07-22,2024-07-28
21,297,2024-07-22,2024-07-28
22,123,2024-07-22,2024-07-28
23,123,2024-07-22,2024-07-28
0,32,2024-07-29,2024-08-04
1,32,2024-07-29,2024-08-04
2,0,2024-07-29,2024-08-04
3,0,2024-07-29,2024-08-04
4,39,2024-07-29,2024-08-04
5,119,2024-07-29,2024-08-04
6,315,2024-07-29,2024-08-04
7,219,2024-07-29,2024-08-04
8,209,2024-07-29,2024-08-04
9,398,2024-07-29,2024-08-04
10,432,2024-07-29,2024-08-04
11,568,2024-07-29,2024-08-04
12,447,2024-07-29,2024-08-04
13,432,2024-07-29,2024-08-04
14,249,2024-07-29,2024-08-04
15,456,2024-07-29,2024-08-04
16,502,2024-07-29,2024-08-04
17,625,2024-07-29,2024-08-04
18,815,2024-07-29,2024-08-04
19,817,2024-07-29,2024-08-04
20,710,2024-07-29,2024-08-04
21,94,2024-07-29,2024-08-04
22,96,2024-07-29,2024-08-04
23,96,2024-07-29,2024-08-04
0,119,2024-08-05,2024-08-11
1,0,2024-08-05,2024-08-11
2,0,2024-08-05,2024-08-11
3,0,2024-08-05,2024-08-11
4,0,2024-08-05,2024-08-11
5,190,2024-08-05,2024-08-11
6,295,2024-08-05,2024-08-11
7,224,2024-08-05,2024-08-11
8,186,2024-08-05,2024-08-11
9,295,2024-08-05,2024-08-11
10,408,2024-08-05,2024-08-11
11,290,2024-08-05,2024-08-11
12,395,2024-08-05,2024-08-11
13,398,2024-08-05,2024-08-11
14,545,2024-08-05,2024-08-11
15,371,2024-08-05,2024-08-11
16,344,2024-08-05,2024-08-11
17,829,2024-08-05,2024-08-11
18,955,2024-08-05,2024-08-11
19,846,2024-08-05,2024-08-11
20,587,2024-08-05,2024-08-11
21,84,2024-08-05,2024-08-11
22,93,2024-08-05,2024-08-11
23,119,2024-08-05,2024-08-11
0,215,2024-08-12,2024-08-18
1,225,2024-08-12,2024-08-18
2,51,2024-08-12,2024-08-18
3,29,2024-08-12,2024-08-18
4,0,2024-08-12,2024-08-18
5,20,2024-08-12,2024-08-18
6,39,2024-08-12,2024-08-18
7,132,2024-08-12,2024-08-18
8,317,2024-08-12,2024-08-18
9,248,2024-08-12,2024-08-18
10,255,2024-08-12,2024-08-18
11,330,2024-08-12,2024-08-18
12,310,2024-08-12,2024-08-18
13,181,2024-08-12,2024-08-18
14,231,2024-08-12,2024-08-18
15,429,2024-08-12,2024-08-18
16,765,2024-08-12,2024-08-18
17,918,2024-08-12,2024-08-18
18,1517,2024-08-12,2024-08-18
19,1056,2024-08-12,2024-08-18
20,656,2024-08-12,2024-08-18
21,139,2024-08-12,2024-08-18
22,191,2024-08-12,2024-08-18
23,201,2024-08-12,2024-08-18
0,0,2024-08-19,2024-08-25
1,43,2024-08-19,2024-08-25
2,43,2024-08-19,2024-08-25
3,0,2024-08-19,2024-08-25
4,0,2024-08-19,2024-08-25
5,72,2024-08-19,2024-08-25
6,210,2024-08-19,2024-08-25
7,425,2024-08-19,2024-08-25
8,645,2024-08-19,2024-08-25
9,679,2024-08-19,2024-08-25
10,619,2024-08-19,2024-08-25
11,703,2024-08-19,2024-08-25
12,714,2024-08-19,2024-08-25
13,523,2024-08-19,2024-08-25
14,529,2024-08-19,2024-08-25
15,603,2024-08-19,2024-08-25
16,771,2024-08-19,2024-08-25
17,1373,2024-08-19,2024-08-25
18,1366,2024-08-19,2024-08-25
19,784,2024-08-19,2024-08-25
20,483,2024-08-19,2024-08-25
21,262,2024-08-19,2024-08-25
22,54,2024-08-19,2024-08-25
23,54,2024-08-19,2024-08-25
0,34,2024-08-26,2024-09-01
1,34,2024-08-26,2024-09-01
2,0,2024-08-26,2024-09-01
3,0,2024-08-26,2024-09-01
4,0,2024-08-26,2024-09-01
5,41,2024-08-26,2024-09-01
6,156,2024-08-26,2024-09-01
7,132,2024-08-26,2024-09-01
8,276,2024-08-26,2024-09-01
9,326,2024-08-26,2024-09-01
10,370,2024-08-26,2024-09-01
11,591,2024-08-26,2024-09-01
12,505,2024-08-26,2024-09-01
13,445,2024-08-26,2024-09-01
14,436,2024-08-26,2024-09-01
15,579,2024-08-26,2024-09-01
16,791,2024-08-26,2024-09-01
17,950,2024-08-26,2024-09-01
18,1206,2024-08-26,2024-09-01
19,1563,2024-08-26,2024-09-01
20,690,2024-08-26,2024-09-01
21,215,2024-08-26,2024-09-01
22,74,2024-08-26,2024-09-01
23,37,2024-08-26,2024-09-01
0,67,2024-09-02,2024-09-08
1,37,2024-09-02,2024-09-08
2,37,2024-09-02,2024-09-08
3,37,2024-09-02,2024-09-08
4,136,2024-09-02,2024-09-08
5,136,2024-09-02,2024-09-08
6,212,2024-09-02,2024-09-08
7,445,2024-09-02,2024-09-08
8,296,2024-09-02,2024-09-08
9,425,2024-09-02,2024-09-08
10,724,2024-09-02,2024-09-08
11,515,2024-09-02,2024-09-08
12,548,2024-09-02,2024-09-08
13,489,2024-09-02,2024-09-08
14,545,2024-09-02,2024-09-08
15,546,2024-09-02,2024-09-08
16,804,2024-09-02,2024-09-08
17,1556,2024-09-02,2024-09-08
18,1577,2024-09-02,2024-09-08
19,1010,2024-09-02,2024-09-08
20,156,2024-09-02,2024-09-08
21,193,2024-09-02,2024-09-08
22,85,2024-09-02,2024-09-08
23,37,2024-09-02,2024-09-08
0,67,2024-09-09,2024-09-15
1,91,2024-09-09,2024-09-15
2,91,2024-09-09,2024-09-15
3,91,2024-09-09,2024-09-15
4,0,2024-09-09,2024-09-15
5,0,2024-09-09,2024-09-15
6,28,2024-09-09,2024-09-15
7,348,2024-09-09,2024-09-15
8,642,2024-09-09,2024-09-15
9,552,2024-09-09,2024-09-15
10,503,2024-09-09,2024-09-15
11,652,2024-09-09,2024-09-15
12,560,2024-09-09,2024-09-15
13,466,2024-09-09,2024-09-15
14,295,2024-09-09,2024-09-15
15,959,2024-09-09,2024-09-15
16,1117,2024-09-09,2024-09-15
17,1659,2024-09-09,2024-09-15
18,1611,2024-09-09,2024-09-15
19,1157,2024-09-09,2024-09-15
20,276,2024-09-09,2024-09-15
21,88,2024-09-09,2024-09-15
22,161,2024-09-09,2024-09-15
23,128,2024-09-09,2024-09-15
0,0,2024-09-16,2024-09-22
1,0,2024-09-16,2024-09-22
2,0,2024-09-16,2024-09-22
3,0,2024-09-16,2024-09-22
4,34,2024-09-16,2024-09-22
5,82,2024-09-16,2024-09-22
6,104,2024-09-16,2024-09-22
7,828,2024-09-16,2024-09-22
8,1152,2024-09-16,2024-09-22
9,317,2024-09-16,2024-09-22
10,559,2024-09-16,2024-09-22
11,622,2024-09-16,2024-09-22
12,694,2024-09-16,2024-09-22
13,505,2024-09-16,2024-09-22
14,575,2024-09-16,2024-09-22
15,1044,2024-09-16,2024-09-22
16,1178,2024-09-16,2024-09-22
17,1507,2024-09-16,2024-09-22
18,1543,2024-09-16,2024-09-22
19,876,2024-09-16,2024-09-22
20,193,2024-09-16,2024-09-22
21,124,2024-09-16,2024-09-22
22,0,2024-09-16,2024-09-22
23,0,2024-09-16,2024-09-22
0,166,2024-09-23,2024-09-29
1,116,2024-09-23,2024-09-29
2,66,2024-09-23,2024-09-29
3,66,2024-09-23,2024-09-29
4,66,2024-09-23,2024-09-29
5,66,2024-09-23,2024-09-29
6,154,2024-09-23,2024-09-29
7,435,2024-09-23,2024-09-29
8,289,2024-09-23,2024-09-29
9,343,2024-09-23,2024-09-29
10,199,2024-09-23,2024-09-29
11,234,2024-09-23,2024-09-29
12,269,2024-09-23,2024-09-29
13,240,2024-09-23,2024-09-29
14,217,2024-09-23,2024-09-29
15,377,2024-09-23,2024-09-29
16,498,2024-09-23,2024-09-29
17,729,2024-09-23,2024-09-29
18,521,2024-09-23,2024-09-29
19,120,2024-09-23,2024-09-29
20,125,2024-09-23,2024-09-29
21,121,2024-09-23,2024-09-29
22,289,2024-09-23,2024-09-29
23,220,2024-09-23,2024-09-29
