hour,visits,week_start,week_end
9,927,2024-05-20,2024-05-26
10,1019,2024-05-20,2024-05-26
11,841,2024-05-20,2024-05-26
12,712,2024-05-20,2024-05-26
13,695,2024-05-20,2024-05-26
14,1047,2024-05-20,2024-05-26
15,1932,2024-05-20,2024-05-26
16,1776,2024-05-20,2024-05-26
17,1634,2024-05-20,2024-05-26
18,1084,2024-05-20,2024-05-26
19,901,2024-05-20,2024-05-26
20,400,2024-05-20,2024-05-26
21,239,2024-05-20,2024-05-26
22,62,2024-05-20,2024-05-26
23,0,2024-05-20,2024-05-26
0,0,2024-05-27,2024-06-02
1,0,2024-05-27,2024-06-02
2,0,2024-05-27,2024-06-02
3,0,2024-05-27,2024-06-02
4,0,2024-05-27,2024-06-02
5,45,2024-05-27,2024-06-02
6,45,2024-05-27,2024-06-02
7,189,2024-05-27,2024-06-02
8,446,2024-05-27,2024-06-02
9,562,2024-05-27,2024-06-02
10,755,2024-05-27,2024-06-02
11,975,2024-05-27,2024-06-02
12,797,2024-05-27,2024-06-02
13,589,2024-05-27,2024-06-02
14,781,2024-05-27,2024-06-02
15,1095,2024-05-27,2024-06-02
16,1347,2024-05-27,2024-06-02
17,1597,2024-05-27,2024-06-02
18,1280,2024-05-27,2024-06-02
19,953,2024-05-27,2024-06-02
20,724,2024-05-27,2024-06-02
21,169,2024-05-27,2024-06-02
22,212,2024-05-27,2024-06-02
23,74,2024-05-27,2024-06-02
0,33,2024-06-03,2024-06-09
1,0,2024-06-03,2024-06-09
2,0,2024-06-03,2024-06-09
3,0,2024-06-03,2024-06-09
4,24,2024-06-03,2024-06-09
5,0,2024-06-03,2024-06-09
6,30,2024-06-03,2024-06-09
7,30,2024-06-03,2024-06-09
8,549,2024-06-03,2024-06-09
9,764,2024-06-03,2024-06-09
10,1324,2024-06-03,2024-06-09
11,1418,2024-06-03,2024-06-09
12,1431,2024-06-03,2024-06-09
13,980,2024-06-03,2024-06-09
14,1039,2024-06-03,2024-06-09
15,1368,2024-06-03,2024-06-09
16,1512,2024-06-03,2024-06-09
17,1660,2024-06-03,2024-06-09
18,1540,2024-06-03,2024-06-09
19,991,2024-06-03,2024-06-09
20,624,2024-06-03,2024-06-09
21,273,2024-06-03,2024-06-09
22,146,2024-06-03,2024-06-09
23,33,2024-06-03,2024-06-09
0,0,2024-06-10,2024-06-16
1,50,2024-06-10,2024-06-16
2,50,2024-06-10,2024-06-16
3,0,2024-06-10,2024-06-16
4,0,2024-06-10,2024-06-16
5,0,2024-06-10,2024-06-16
6,74,2024-06-10,2024-06-16
7,130,2024-06-10,2024-06-16
8,517,2024-06-10,2024-06-16
9,888,2024-06-10,2024-06-16
10,1323,2024-06-10,2024-06-16
11,1341,2024-06-10,2024-06-16
12,1143,2024-06-10,2024-06-16
13,616,2024-06-10,2024-06-16
14,666,2024-06-10,2024-06-16
15,698,2024-06-10,2024-06-16
16,809,2024-06-10,2024-06-16
17,1039,2024-06-10,2024-06-16
18,1251,2024-06-10,2024-06-16
19,955,2024-06-10,2024-06-16
20,730,2024-06-10,2024-06-16
21,326,2024-06-10,2024-06-16
22,28,2024-06-10,2024-06-16
23,28,2024-06-10,2024-06-16
0,29,2024-06-17,2024-06-23
1,97,2024-06-17,2024-06-23
2,136,2024-06-17,2024-06-23
3,39,2024-06-17,2024-06-23
4,0,2024-06-17,2024-06-23
5,56,2024-06-17,2024-06-23
6,56,2024-06-17,2024-06-23
7,208,2024-06-17,2024-06-23
8,445,2024-06-17,2024-06-23
9,677,2024-06-17,2024-06-23
10,1215,2024-06-17,2024-06-23
11,892,2024-06-17,2024-06-23
12,719,2024-06-17,2024-06-23
