hour,visits,week_start,week_end
6,696,2024-05-13,2024-05-19
7,1033,2024-05-13,2024-05-19
8,1421,2024-05-13,2024-05-19
9,2325,2024-05-13,2024-05-19
10,3444,2024-05-13,2024-05-19
11,4427,2024-05-13,2024-05-19
12,5719,2024-05-13,2024-05-19
13,5374,2024-05-13,2024-05-19
14,6040,2024-05-13,2024-05-19
15,6922,2024-05-13,2024-05-19
16,8142,2024-05-13,2024-05-19
17,8679,2024-05-13,2024-05-19
18,8417,2024-05-13,2024-05-19
19,7184,2024-05-13,2024-05-19
20,5445,2024-05-13,2024-05-19
21,2469,2024-05-13,2024-05-19
22,1835,2024-05-13,2024-05-19
23,1480,2024-05-13,2024-05-19
0,679,2024-05-20,2024-05-26
1,542,2024-05-20,2024-05-26
2,404,2024-05-20,2024-05-26
3,224,2024-05-20,2024-05-26
4,280,2024-05-20,2024-05-26
5,287,2024-05-20,2024-05-26
6,443,2024-05-20,2024-05-26
7,637,2024-05-20,2024-05-26
8,1083,2024-05-20,2024-05-26
9,1972,2024-05-20,2024-05-26
10,2412,2024-05-20,2024-05-26
11,2889,2024-05-20,2024-05-26
12,4462,2024-05-20,2024-05-26
13,4852,2024-05-20,2024-05-26
14,6725,2024-05-20,2024-05-26
15,7598,2024-05-20,2024-05-26
16,8733,2024-05-20,2024-05-26
17,9910,2024-05-20,2024-05-26
18,12614,2024-05-20,2024-05-26
19,13315,2024-05-20,2024-05-26
20,10578,2024-05-20,2024-05-26
21,5306,2024-05-20,2024-05-26
22,3072,2024-05-20,2024-05-26
23,1765,2024-05-20,2024-05-26
0,767,2024-05-27,2024-06-02
1,538,2024-05-27,2024-06-02
2,353,2024-05-27,2024-06-02
3,238,2024-05-27,2024-06-02
4,41,2024-05-27,2024-06-02
5,274,2024-05-27,2024-06-02
6,232,2024-05-27,2024-06-02
7,413,2024-05-27,2024-06-02
8,826,2024-05-27,2024-06-02
9,1666,2024-05-27,2024-06-02
10,3171,2024-05-27,2024-06-02
11,3987,2024-05-27,2024-06-02
12,4178,2024-05-27,2024-06-02
13,4904,2024-05-27,2024-06-02
14,5487,2024-05-27,2024-06-02
15,6253,2024-05-27,2024-06-02
16,7104,2024-05-27,2024-06-02
17,8783,2024-05-27,2024-06-02
18,11238,2024-05-27,2024-06-02
19,11202,2024-05-27,2024-06-02
20,8784,2024-05-27,2024-06-02
21,4676,2024-05-27,2024-06-02
22,2862,2024-05-27,2024-06-02
23,1564,2024-05-27,2024-06-02
0,2545,2024-06-03,2024-06-09
1,1353,2024-06-03,2024-06-09
2,1137,2024-06-03,2024-06-09
3,1077,2024-06-03,2024-06-09
4,1118,2024-06-03,2024-06-09
5,1083,2024-06-03,2024-06-09
6,1543,2024-06-03,2024-06-09
7,3175,2024-06-03,2024-06-09
8,4607,2024-06-03,2024-06-09
9,6502,2024-06-03,2024-06-09
10,11935,2024-06-03,2024-06-09
11,17620,2024-06-03,2024-06-09
12,18578,2024-06-03,2024-06-09
13,28095,2024-06-03,2024-06-09
14,42631,2024-06-03,2024-06-09
