hour,visits,week_start,week_end
7,461,2024-05-13,2024-05-19
8,1305,2024-05-13,2024-05-19
9,1424,2024-05-13,2024-05-19
10,836,2024-05-13,2024-05-19
11,866,2024-05-13,2024-05-19
12,1843,2024-05-13,2024-05-19
13,1805,2024-05-13,2024-05-19
14,1877,2024-05-13,2024-05-19
15,3060,2024-05-13,2024-05-19
16,3547,2024-05-13,2024-05-19
17,3466,2024-05-13,2024-05-19
18,2772,2024-05-13,2024-05-19
19,2100,2024-05-13,2024-05-19
20,1701,2024-05-13,2024-05-19
21,1295,2024-05-13,2024-05-19
22,885,2024-05-13,2024-05-19
23,154,2024-05-13,2024-05-19
0,358,2024-05-20,2024-05-26
1,298,2024-05-20,2024-05-26
2,298,2024-05-20,2024-05-26
3,0,2024-05-20,2024-05-26
4,0,2024-05-20,2024-05-26
5,0,2024-05-20,2024-05-26
6,101,2024-05-20,2024-05-26
7,409,2024-05-20,2024-05-26
8,408,2024-05-20,2024-05-26
9,778,2024-05-20,2024-05-26
10,1450,2024-05-20,2024-05-26
11,1604,2024-05-20,2024-05-26
12,2119,2024-05-20,2024-05-26
13,2933,2024-05-20,2024-05-26
14,3889,2024-05-20,2024-05-26
15,4178,2024-05-20,2024-05-26
16,5425,2024-05-20,2024-05-26
17,7208,2024-05-20,2024-05-26
18,7897,2024-05-20,2024-05-26
19,6122,2024-05-20,2024-05-26
20,4509,2024-05-20,2024-05-26
21,2772,2024-05-20,2024-05-26
22,1692,2024-05-20,2024-05-26
23,835,2024-05-20,2024-05-26
0,170,2024-05-27,2024-06-02
1,25,2024-05-27,2024-06-02
2,60,2024-05-27,2024-06-02
3,60,2024-05-27,2024-06-02
4,0,2024-05-27,2024-06-02
5,23,2024-05-27,2024-06-02
6,23,2024-05-27,2024-06-02
7,190,2024-05-27,2024-06-02
8,366,2024-05-27,2024-06-02
9,721,2024-05-27,2024-06-02
10,1707,2024-05-27,2024-06-02
11,2274,2024-05-27,2024-06-02
12,3257,2024-05-27,2024-06-02
13,4429,2024-05-27,2024-06-02
14,3974,2024-05-27,2024-06-02
15,4992,2024-05-27,2024-06-02
16,6417,2024-05-27,2024-06-02
17,7154,2024-05-27,2024-06-02
18,5476,2024-05-27,2024-06-02
19,4411,2024-05-27,2024-06-02
20,2887,2024-05-27,2024-06-02
21,1734,2024-05-27,2024-06-02
22,1072,2024-05-27,2024-06-02
23,334,2024-05-27,2024-06-02
0,927,2024-06-03,2024-06-09
1,449,2024-06-03,2024-06-09
2,121,2024-06-03,2024-06-09
3,93,2024-06-03,2024-06-09
4,133,2024-06-03,2024-06-09
5,363,2024-06-03,2024-06-09
6,525,2024-06-03,2024-06-09
7,712,2024-06-03,2024-06-09
8,656,2024-06-03,2024-06-09
9,1020,2024-06-03,2024-06-09
10,1883,2024-06-03,2024-06-09
11,3208,2024-06-03,2024-06-09
12,3348,2024-06-03,2024-06-09
13,4136,2024-06-03,2024-06-09
14,4425,2024-06-03,2024-06-09
15,3676,2024-06-03,2024-06-09
16,6487,2024-06-03,2024-06-09
17,5546,2024-06-03,2024-06-09
18,5722,2024-06-03,2024-06-09
19,5915,2024-06-03,2024-06-09
20,4738,2024-06-03,2024-06-09
21,3330,2024-06-03,2024-06-09
22,2149,2024-06-03,2024-06-09
23,1218,2024-06-03,2024-06-09
0,622,2024-06-10,2024-06-16
1,395,2024-06-10,2024-06-16
2,325,2024-06-10,2024-06-16
3,103,2024-06-10,2024-06-16
4,127,2024-06-10,2024-06-16
5,308,2024-06-10,2024-06-16
6,341,2024-06-10,2024-06-16
7,590,2024-06-10,2024-06-16
8,954,2024-06-10,2024-06-16
9,1795,2024-06-10,2024-06-16
10,2664,2024-06-10,2024-06-16
11,3517,2024-06-10,2024-06-16
12,4351,2024-06-10,2024-06-16
13,4131,2024-06-10,2024-06-16
14,5149,2024-06-10,2024-06-16
15,6141,2024-06-10,2024-06-16
16,7590,2024-06-10,2024-06-16
17,8424,2024-06-10,2024-06-16
18,8463,2024-06-10,2024-06-16
19,7047,2024-06-10,2024-06-16
20,6418,2024-06-10,2024-06-16
21,4550,2024-06-10,2024-06-16
22,2558,2024-06-10,2024-06-16
23,1262,2024-06-10,2024-06-16
0,776,2024-06-17,2024-06-23
1,251,2024-06-17,2024-06-23
2,79,2024-06-17,2024-06-23
3,104,2024-06-17,2024-06-23
4,53,2024-06-17,2024-06-23
5,139,2024-06-17,2024-06-23
6,224,2024-06-17,2024-06-23
7,271,2024-06-17,2024-06-23
8,605,2024-06-17,2024-06-23
9,1048,2024-06-17,2024-06-23
10,1478,2024-06-17,2024-06-23
11,2646,2024-06-17,2024-06-23
12,2845,2024-06-17,2024-06-23
13,3203,2024-06-17,2024-06-23
14,4101,2024-06-17,2024-06-23
15,4938,2024-06-17,2024-06-23
16,7636,2024-06-17,2024-06-23
17,10126,2024-06-17,2024-06-23
18,11383,2024-06-17,2024-06-23
19,12242,2024-06-17,2024-06-23
20,10091,2024-06-17,2024-06-23
21,4444,2024-06-17,2024-06-23
22,2241,2024-06-17,2024-06-23
23,1188,2024-06-17,2024-06-23
0,418,2024-06-24,2024-06-30
1,133,2024-06-24,2024-06-30
2,60,2024-06-24,2024-06-30
3,74,2024-06-24,2024-06-30
4,74,2024-06-24,2024-06-30
5,220,2024-06-24,2024-06-30
6,87,2024-06-24,2024-06-30
7,513,2024-06-24,2024-06-30
8,1180,2024-06-24,2024-06-30
9,1353,2024-06-24,2024-06-30
10,1469,2024-06-24,2024-06-30
11,1934,2024-06-24,2024-06-30
12,2764,2024-06-24,2024-06-30
13,3555,2024-06-24,2024-06-30
14,4012,2024-06-24,2024-06-30
15,4490,2024-06-24,2024-06-30
16,5906,2024-06-24,2024-06-30
17,6292,2024-06-24,2024-06-30
18,6687,2024-06-24,2024-06-30
19,5981,2024-06-24,2024-06-30
20,5110,2024-06-24,2024-06-30
21,3343,2024-06-24,2024-06-30
22,1829,2024-06-24,2024-06-30
23,615,2024-06-24,2024-06-30
0,1764,2024-07-01,2024-07-07
1,466,2024-07-01,2024-07-07
2,408,2024-07-01,2024-07-07
3,292,2024-07-01,2024-07-07
4,503,2024-07-01,2024-07-07
5,397,2024-07-01,2024-07-07
6,299,2024-07-01,2024-07-07
7,491,2024-07-01,2024-07-07
8,943,2024-07-01,2024-07-07
9,1381,2024-07-01,2024-07-07
10,1492,2024-07-01,2024-07-07
11,2216,2024-07-01,2024-07-07
12,3182,2024-07-01,2024-07-07
13,4905,2024-07-01,2024-07-07
14,6096,2024-07-01,2024-07-07
15,7537,2024-07-01,2024-07-07
16,9293,2024-07-01,2024-07-07
17,11807,2024-07-01,2024-07-07
18,12643,2024-07-01,2024-07-07
19,15618,2024-07-01,2024-07-07
20,15479,2024-07-01,2024-07-07
21,11939,2024-07-01,2024-07-07
22,8069,2024-07-01,2024-07-07
23,3485,2024-07-01,2024-07-07
0,1241,2024-07-08,2024-07-14
1,756,2024-07-08,2024-07-14
2,341,2024-07-08,2024-07-14
3,191,2024-07-08,2024-07-14
4,57,2024-07-08,2024-07-14
5,57,2024-07-08,2024-07-14
6,84,2024-07-08,2024-07-14
7,312,2024-07-08,2024-07-14
