hour,visits,week_start,week_end
7,270,2024-05-13,2024-05-19
8,638,2024-05-13,2024-05-19
9,1472,2024-05-13,2024-05-19
10,2049,2024-05-13,2024-05-19
11,2522,2024-05-13,2024-05-19
12,3402,2024-05-13,2024-05-19
13,4091,2024-05-13,2024-05-19
14,5069,2024-05-13,2024-05-19
15,6643,2024-05-13,2024-05-19
16,6962,2024-05-13,2024-05-19
17,6382,2024-05-13,2024-05-19
18,4631,2024-05-13,2024-05-19
19,2830,2024-05-13,2024-05-19
20,1667,2024-05-13,2024-05-19
21,949,2024-05-13,2024-05-19
22,640,2024-05-13,2024-05-19
23,346,2024-05-13,2024-05-19
0,377,2024-05-20,2024-05-26
1,240,2024-05-20,2024-05-26
2,217,2024-05-20,2024-05-26
3,217,2024-05-20,2024-05-26
4,247,2024-05-20,2024-05-26
5,347,2024-05-20,2024-05-26
6,546,2024-05-20,2024-05-26
7,405,2024-05-20,2024-05-26
8,699,2024-05-20,2024-05-26
9,1404,2024-05-20,2024-05-26
10,1259,2024-05-20,2024-05-26
11,2714,2024-05-20,2024-05-26
12,4657,2024-05-20,2024-05-26
13,6638,2024-05-20,2024-05-26
14,8771,2024-05-20,2024-05-26
15,10621,2024-05-20,2024-05-26
16,10777,2024-05-20,2024-05-26
17,11668,2024-05-20,2024-05-26
18,8997,2024-05-20,2024-05-26
19,6050,2024-05-20,2024-05-26
20,4265,2024-05-20,2024-05-26
21,2263,2024-05-20,2024-05-26
22,1291,2024-05-20,2024-05-26
23,746,2024-05-20,2024-05-26
0,340,2024-05-27,2024-06-02
1,101,2024-05-27,2024-06-02
2,101,2024-05-27,2024-06-02
3,131,2024-05-27,2024-06-02
4,101,2024-05-27,2024-06-02
5,165,2024-05-27,2024-06-02
6,201,2024-05-27,2024-06-02
7,252,2024-05-27,2024-06-02
8,787,2024-05-27,2024-06-02
9,1252,2024-05-27,2024-06-02
10,1647,2024-05-27,2024-06-02
11,2303,2024-05-27,2024-06-02
12,3614,2024-05-27,2024-06-02
13,7192,2024-05-27,2024-06-02
14,7573,2024-05-27,2024-06-02
15,9156,2024-05-27,2024-06-02
16,8685,2024-05-27,2024-06-02
17,8841,2024-05-27,2024-06-02
18,6931,2024-05-27,2024-06-02
19,5000,2024-05-27,2024-06-02
20,3198,2024-05-27,2024-06-02
21,1644,2024-05-27,2024-06-02
22,1167,2024-05-27,2024-06-02
23,787,2024-05-27,2024-06-02
0,253,2024-06-03,2024-06-09
1,29,2024-06-03,2024-06-09
2,91,2024-06-03,2024-06-09
3,91,2024-06-03,2024-06-09
4,0,2024-06-03,2024-06-09
5,0,2024-06-03,2024-06-09
6,0,2024-06-03,2024-06-09
7,201,2024-06-03,2024-06-09
8,661,2024-06-03,2024-06-09
9,1059,2024-06-03,2024-06-09
10,1076,2024-06-03,2024-06-09
11,1660,2024-06-03,2024-06-09
12,3014,2024-06-03,2024-06-09
13,3766,2024-06-03,2024-06-09
14,5671,2024-06-03,2024-06-09
15,7032,2024-06-03,2024-06-09
16,7980,2024-06-03,2024-06-09
17,8564,2024-06-03,2024-06-09
18,7884,2024-06-03,2024-06-09
19,5355,2024-06-03,2024-06-09
20,3986,2024-06-03,2024-06-09
21,2266,2024-06-03,2024-06-09
22,731,2024-06-03,2024-06-09
23,253,2024-06-03,2024-06-09
0,325,2024-06-10,2024-06-16
1,101,2024-06-10,2024-06-16
2,174,2024-06-10,2024-06-16
3,89,2024-06-10,2024-06-16
4,150,2024-06-10,2024-06-16
5,61,2024-06-10,2024-06-16
6,87,2024-06-10,2024-06-16
7,188,2024-06-10,2024-06-16
8,988,2024-06-10,2024-06-16
9,1720,2024-06-10,2024-06-16
10,1856,2024-06-10,2024-06-16
11,3138,2024-06-10,2024-06-16
12,6358,2024-06-10,2024-06-16
13,7829,2024-06-10,2024-06-16
14,9860,2024-06-10,2024-06-16
15,10297,2024-06-10,2024-06-16
16,10906,2024-06-10,2024-06-16
17,10073,2024-06-10,2024-06-16
18,8128,2024-06-10,2024-06-16
19,5602,2024-06-10,2024-06-16
20,3438,2024-06-10,2024-06-16
21,1864,2024-06-10,2024-06-16
22,1324,2024-06-10,2024-06-16
23,897,2024-06-10,2024-06-16
0,170,2024-06-17,2024-06-23
1,173,2024-06-17,2024-06-23
2,143,2024-06-17,2024-06-23
3,115,2024-06-17,2024-06-23
