hour,visits,week_start,week_end
7,259,2024-05-13,2024-05-19
8,595,2024-05-13,2024-05-19
9,592,2024-05-13,2024-05-19
10,1190,2024-05-13,2024-05-19
11,1543,2024-05-13,2024-05-19
12,1739,2024-05-13,2024-05-19
13,2100,2024-05-13,2024-05-19
14,2814,2024-05-13,2024-05-19
15,4354,2024-05-13,2024-05-19
16,4087,2024-05-13,2024-05-19
17,4457,2024-05-13,2024-05-19
18,3893,2024-05-13,2024-05-19
19,3057,2024-05-13,2024-05-19
20,2339,2024-05-13,2024-05-19
21,1727,2024-05-13,2024-05-19
22,516,2024-05-13,2024-05-19
23,105,2024-05-13,2024-05-19
0,618,2024-05-20,2024-05-26
1,565,2024-05-20,2024-05-26
2,537,2024-05-20,2024-05-26
3,592,2024-05-20,2024-05-26
4,376,2024-05-20,2024-05-26
5,209,2024-05-20,2024-05-26
6,272,2024-05-20,2024-05-26
7,241,2024-05-20,2024-05-26
8,413,2024-05-20,2024-05-26
9,987,2024-05-20,2024-05-26
10,1216,2024-05-20,2024-05-26
11,1224,2024-05-20,2024-05-26
12,2146,2024-05-20,2024-05-26
13,3493,2024-05-20,2024-05-26
14,5085,2024-05-20,2024-05-26
15,5775,2024-05-20,2024-05-26
16,8595,2024-05-20,2024-05-26
17,8280,2024-05-20,2024-05-26
18,9254,2024-05-20,2024-05-26
19,9455,2024-05-20,2024-05-26
20,6661,2024-05-20,2024-05-26
21,2860,2024-05-20,2024-05-26
22,1888,2024-05-20,2024-05-26
23,852,2024-05-20,2024-05-26
0,292,2024-05-27,2024-06-02
1,69,2024-05-27,2024-06-02
2,57,2024-05-27,2024-06-02
3,111,2024-05-27,2024-06-02
4,114,2024-05-27,2024-06-02
5,47,2024-05-27,2024-06-02
6,27,2024-05-27,2024-06-02
7,59,2024-05-27,2024-06-02
8,190,2024-05-27,2024-06-02
9,407,2024-05-27,2024-06-02
10,1275,2024-05-27,2024-06-02
11,1954,2024-05-27,2024-06-02
12,2402,2024-05-27,2024-06-02
13,2930,2024-05-27,2024-06-02
14,3861,2024-05-27,2024-06-02
15,4874,2024-05-27,2024-06-02
16,6054,2024-05-27,2024-06-02
17,6505,2024-05-27,2024-06-02
18,7287,2024-05-27,2024-06-02
19,6059,2024-05-27,2024-06-02
20,4901,2024-05-27,2024-06-02
21,2747,2024-05-27,2024-06-02
22,1699,2024-05-27,2024-06-02
23,465,2024-05-27,2024-06-02
0,1281,2024-06-03,2024-06-09
1,588,2024-06-03,2024-06-09
2,118,2024-06-03,2024-06-09
3,118,2024-06-03,2024-06-09
4,95,2024-06-03,2024-06-09
5,121,2024-06-03,2024-06-09
6,136,2024-06-03,2024-06-09
7,249,2024-06-03,2024-06-09
8,939,2024-06-03,2024-06-09
9,2239,2024-06-03,2024-06-09
10,2314,2024-06-03,2024-06-09
11,3114,2024-06-03,2024-06-09
12,4555,2024-06-03,2024-06-09
13,5162,2024-06-03,2024-06-09
14,5837,2024-06-03,2024-06-09
15,7046,2024-06-03,2024-06-09
16,6465,2024-06-03,2024-06-09
17,7273,2024-06-03,2024-06-09
18,7474,2024-06-03,2024-06-09
19,7403,2024-06-03,2024-06-09
20,6086,2024-06-03,2024-06-09
21,3726,2024-06-03,2024-06-09
22,2551,2024-06-03,2024-06-09
23,1615,2024-06-03,2024-06-09
0,578,2024-06-10,2024-06-16
1,120,2024-06-10,2024-06-16
2,23,2024-06-10,2024-06-16
3,23,2024-06-10,2024-06-16
4,76,2024-06-10,2024-06-16
5,114,2024-06-10,2024-06-16
6,87,2024-06-10,2024-06-16
7,272,2024-06-10,2024-06-16
8,433,2024-06-10,2024-06-16
9,422,2024-06-10,2024-06-16
10,1416,2024-06-10,2024-06-16
11,2813,2024-06-10,2024-06-16
12,4483,2024-06-10,2024-06-16
13,4475,2024-06-10,2024-06-16
14,5116,2024-06-10,2024-06-16
15,5414,2024-06-10,2024-06-16
16,7176,2024-06-10,2024-06-16
17,7606,2024-06-10,2024-06-16
18,6712,2024-06-10,2024-06-16
19,6226,2024-06-10,2024-06-16
20,4334,2024-06-10,2024-06-16
21,3282,2024-06-10,2024-06-16
22,1425,2024-06-10,2024-06-16
23,1011,2024-06-10,2024-06-16
0,509,2024-06-17,2024-06-23
