hour,visits,week_start,week_end
9,586,2024-05-27,2024-06-02
10,570,2024-05-27,2024-06-02
11,395,2024-05-27,2024-06-02
12,620,2024-05-27,2024-06-02
13,1007,2024-05-27,2024-06-02
14,963,2024-05-27,2024-06-02
15,854,2024-05-27,2024-06-02
16,955,2024-05-27,2024-06-02
17,1120,2024-05-27,2024-06-02
18,1449,2024-05-27,2024-06-02
19,1564,2024-05-27,2024-06-02
20,1068,2024-05-27,2024-06-02
21,781,2024-05-27,2024-06-02
22,890,2024-05-27,2024-06-02
23,1134,2024-05-27,2024-06-02
0,821,2024-06-03,2024-06-09
1,425,2024-06-03,2024-06-09
2,220,2024-06-03,2024-06-09
3,68,2024-06-03,2024-06-09
4,68,2024-06-03,2024-06-09
5,87,2024-06-03,2024-06-09
6,262,2024-06-03,2024-06-09
7,791,2024-06-03,2024-06-09
8,1379,2024-06-03,2024-06-09
9,1529,2024-06-03,2024-06-09
10,1117,2024-06-03,2024-06-09
11,442,2024-06-03,2024-06-09
12,564,2024-06-03,2024-06-09
13,1678,2024-06-03,2024-06-09
14,1346,2024-06-03,2024-06-09
15,1155,2024-06-03,2024-06-09
16,1343,2024-06-03,2024-06-09
17,1461,2024-06-03,2024-06-09
18,1718,2024-06-03,2024-06-09
19,2099,2024-06-03,2024-06-09
20,1784,2024-06-03,2024-06-09
21,1400,2024-06-03,2024-06-09
22,1026,2024-06-03,2024-06-09
23,1202,2024-06-03,2024-06-09
0,519,2024-06-10,2024-06-16
1,424,2024-06-10,2024-06-16
2,163,2024-06-10,2024-06-16
3,41,2024-06-10,2024-06-16
4,133,2024-06-10,2024-06-16
5,152,2024-06-10,2024-06-16
6,353,2024-06-10,2024-06-16
7,1101,2024-06-10,2024-06-16
8,1332,2024-06-10,2024-06-16
9,1370,2024-06-10,2024-06-16
10,1387,2024-06-10,2024-06-16
11,1122,2024-06-10,2024-06-16
12,500,2024-06-10,2024-06-16
13,1300,2024-06-10,2024-06-16
14,1849,2024-06-10,2024-06-16
15,2016,2024-06-10,2024-06-16
16,958,2024-06-10,2024-06-16
17,1245,2024-06-10,2024-06-16
18,1808,2024-06-10,2024-06-16
19,1637,2024-06-10,2024-06-16
20,1070,2024-06-10,2024-06-16
21,775,2024-06-10,2024-06-16
22,392,2024-06-10,2024-06-16
23,483,2024-06-10,2024-06-16
0,991,2024-06-17,2024-06-23
1,296,2024-06-17,2024-06-23
2,251,2024-06-17,2024-06-23
3,162,2024-06-17,2024-06-23
4,123,2024-06-17,2024-06-23
5,116,2024-06-17,2024-06-23
6,235,2024-06-17,2024-06-23
7,855,2024-06-17,2024-06-23
8,871,2024-06-17,2024-06-23
9,641,2024-06-17,2024-06-23
10,737,2024-06-17,2024-06-23
11,701,2024-06-17,2024-06-23
12,918,2024-06-17,2024-06-23
13,910,2024-06-17,2024-06-23
14,917,2024-06-17,2024-06-23
15,767,2024-06-17,2024-06-23
16,1585,2024-06-17,2024-06-23
17,1805,2024-06-17,2024-06-23
18,1836,2024-06-17,2024-06-23
19,2283,2024-06-17,2024-06-23
20,1738,2024-06-17,2024-06-23
21,1493,2024-06-17,2024-06-23
22,1353,2024-06-17,2024-06-23
23,1533,2024-06-17,2024-06-23
0,1229,2024-06-24,2024-06-30
1,876,2024-06-24,2024-06-30
2,215,2024-06-24,2024-06-30
3,590,2024-06-24,2024-06-30
4,426,2024-06-24,2024-06-30
5,180,2024-06-24,2024-06-30
6,184,2024-06-24,2024-06-30
7,543,2024-06-24,2024-06-30
8,896,2024-06-24,2024-06-30
9,1167,2024-06-24,2024-06-30
10,807,2024-06-24,2024-06-30
11,496,2024-06-24,2024-06-30
12,447,2024-06-24,2024-06-30
13,1085,2024-06-24,2024-06-30
14,1607,2024-06-24,2024-06-30
15,1883,2024-06-24,2024-06-30
16,1763,2024-06-24,2024-06-30
17,1257,2024-06-24,2024-06-30
18,2264,2024-06-24,2024-06-30
19,2671,2024-06-24,2024-06-30
20,2082,2024-06-24,2024-06-30
21,1211,2024-06-24,2024-06-30
22,1719,2024-06-24,2024-06-30
23,1238,2024-06-24,2024-06-30
0,1416,2024-07-01,2024-07-07
1,698,2024-07-01,2024-07-07
2,505,2024-07-01,2024-07-07
3,394,2024-07-01,2024-07-07
4,93,2024-07-01,2024-07-07
5,93,2024-07-01,2024-07-07
6,258,2024-07-01,2024-07-07
7,732,2024-07-01,2024-07-07
8,830,2024-07-01,2024-07-07
9,929,2024-07-01,2024-07-07
10,1214,2024-07-01,2024-07-07
11,1734,2024-07-01,2024-07-07
12,1565,2024-07-01,2024-07-07
13,628,2024-07-01,2024-07-07
14,1858,2024-07-01,2024-07-07
15,1876,2024-07-01,2024-07-07
16,1097,2024-07-01,2024-07-07
17,1853,2024-07-01,2024-07-07
18,2108,2024-07-01,2024-07-07
19,1370,2024-07-01,2024-07-07
20,1166,2024-07-01,2024-07-07
21,1370,2024-07-01,2024-07-07
22,1808,2024-07-01,2024-07-07
23,1696,2024-07-01,2024-07-07
0,919,2024-07-08,2024-07-14
1,120,2024-07-08,2024-07-14
2,93,2024-07-08,2024-07-14
3,39,2024-07-08,2024-07-14
4,85,2024-07-08,2024-07-14
5,85,2024-07-08,2024-07-14
6,218,2024-07-08,2024-07-14
7,564,2024-07-08,2024-07-14
8,548,2024-07-08,2024-07-14
9,591,2024-07-08,2024-07-14
10,596,2024-07-08,2024-07-14
11,852,2024-07-08,2024-07-14
12,483,2024-07-08,2024-07-14
13,523,2024-07-08,2024-07-14
14,649,2024-07-08,2024-07-14
15,575,2024-07-08,2024-07-14
16,885,2024-07-08,2024-07-14
17,1462,2024-07-08,2024-07-14
18,1948,2024-07-08,2024-07-14
