hour,visits,week_start,week_end
7,159,2024-05-13,2024-05-19
8,446,2024-05-13,2024-05-19
9,757,2024-05-13,2024-05-19
10,1054,2024-05-13,2024-05-19
11,1252,2024-05-13,2024-05-19
12,1450,2024-05-13,2024-05-19
13,2287,2024-05-13,2024-05-19
14,2532,2024-05-13,2024-05-19
15,2709,2024-05-13,2024-05-19
16,3081,2024-05-13,2024-05-19
17,3485,2024-05-13,2024-05-19
18,3683,2024-05-13,2024-05-19
19,3273,2024-05-13,2024-05-19
20,1476,2024-05-13,2024-05-19
21,318,2024-05-13,2024-05-19
22,193,2024-05-13,2024-05-19
23,112,2024-05-13,2024-05-19
0,149,2024-05-20,2024-05-26
1,96,2024-05-20,2024-05-26
2,47,2024-05-20,2024-05-26
3,47,2024-05-20,2024-05-26
4,47,2024-05-20,2024-05-26
5,47,2024-05-20,2024-05-26
6,93,2024-05-20,2024-05-26
7,569,2024-05-20,2024-05-26
8,1251,2024-05-20,2024-05-26
9,1887,2024-05-20,2024-05-26
10,2605,2024-05-20,2024-05-26
11,2971,2024-05-20,2024-05-26
12,3117,2024-05-20,2024-05-26
13,4258,2024-05-20,2024-05-26
14,4899,2024-05-20,2024-05-26
15,6706,2024-05-20,2024-05-26
16,7878,2024-05-20,2024-05-26
17,9274,2024-05-20,2024-05-26
18,8400,2024-05-20,2024-05-26
19,7971,2024-05-20,2024-05-26
20,5448,2024-05-20,2024-05-26
21,2228,2024-05-20,2024-05-26
22,1248,2024-05-20,2024-05-26
23,478,2024-05-20,2024-05-26
0,154,2024-05-27,2024-06-02
1,85,2024-05-27,2024-06-02
2,85,2024-05-27,2024-06-02
3,29,2024-05-27,2024-06-02
4,29,2024-05-27,2024-06-02
5,29,2024-05-27,2024-06-02
6,134,2024-05-27,2024-06-02
7,312,2024-05-27,2024-06-02
8,1329,2024-05-27,2024-06-02
9,2470,2024-05-27,2024-06-02
10,3003,2024-05-27,2024-06-02
11,2886,2024-05-27,2024-06-02
12,3108,2024-05-27,2024-06-02
13,3468,2024-05-27,2024-06-02
14,4200,2024-05-27,2024-06-02
15,4427,2024-05-27,2024-06-02
16,4680,2024-05-27,2024-06-02
17,4818,2024-05-27,2024-06-02
18,5288,2024-05-27,2024-06-02
19,5239,2024-05-27,2024-06-02
20,4268,2024-05-27,2024-06-02
21,1626,2024-05-27,2024-06-02
22,835,2024-05-27,2024-06-02
23,246,2024-05-27,2024-06-02
0,39,2024-06-03,2024-06-09
1,39,2024-06-03,2024-06-09
2,39,2024-06-03,2024-06-09
3,39,2024-06-03,2024-06-09
4,39,2024-06-03,2024-06-09
5,51,2024-06-03,2024-06-09
6,107,2024-06-03,2024-06-09
7,175,2024-06-03,2024-06-09
8,632,2024-06-03,2024-06-09
9,1055,2024-06-03,2024-06-09
10,1928,2024-06-03,2024-06-09
11,2512,2024-06-03,2024-06-09
12,2862,2024-06-03,2024-06-09
13,2721,2024-06-03,2024-06-09
14,3746,2024-06-03,2024-06-09
15,4023,2024-06-03,2024-06-09
16,4855,2024-06-03,2024-06-09
17,5217,2024-06-03,2024-06-09
18,5026,2024-06-03,2024-06-09
19,4675,2024-06-03,2024-06-09
20,3683,2024-06-03,2024-06-09
21,1677,2024-06-03,2024-06-09
22,643,2024-06-03,2024-06-09
23,144,2024-06-03,2024-06-09
0,85,2024-06-10,2024-06-16
1,22,2024-06-10,2024-06-16
2,22,2024-06-10,2024-06-16
3,22,2024-06-10,2024-06-16
4,103,2024-06-10,2024-06-16
5,109,2024-06-10,2024-06-16
6,230,2024-06-10,2024-06-16
7,589,2024-06-10,2024-06-16
8,1153,2024-06-10,2024-06-16
9,1841,2024-06-10,2024-06-16
10,2584,2024-06-10,2024-06-16
11,3266,2024-06-10,2024-06-16
12,4151,2024-06-10,2024-06-16
13,5201,2024-06-10,2024-06-16
14,6133,2024-06-10,2024-06-16
15,7640,2024-06-10,2024-06-16
16,9000,2024-06-10,2024-06-16
17,8807,2024-06-10,2024-06-16
18,7827,2024-06-10,2024-06-16
19,7788,2024-06-10,2024-06-16
20,5447,2024-06-10,2024-06-16
21,1950,2024-06-10,2024-06-16
22,608,2024-06-10,2024-06-16
23,334,2024-06-10,2024-06-16
0,51,2024-06-17,2024-06-23
1,119,2024-06-17,2024-06-23
2,118,2024-06-17,2024-06-23
3,118,2024-06-17,2024-06-23
4,86,2024-06-17,2024-06-23
5,122,2024-06-17,2024-06-23
6,158,2024-06-17,2024-06-23
7,495,2024-06-17,2024-06-23
8,1496,2024-06-17,2024-06-23
9,2003,2024-06-17,2024-06-23
10,1927,2024-06-17,2024-06-23
11,2221,2024-06-17,2024-06-23
12,3674,2024-06-17,2024-06-23
13,3983,2024-06-17,2024-06-23
14,3751,2024-06-17,2024-06-23
15,5567,2024-06-17,2024-06-23
16,6295,2024-06-17,2024-06-23
17,6019,2024-06-17,2024-06-23
18,6414,2024-06-17,2024-06-23
19,6319,2024-06-17,2024-06-23
20,3686,2024-06-17,2024-06-23
21,1354,2024-06-17,2024-06-23
22,340,2024-06-17,2024-06-23
23,36,2024-06-17,2024-06-23
0,75,2024-06-24,2024-06-30
1,24,2024-06-24,2024-06-30
2,24,2024-06-24,2024-06-30
3,53,2024-06-24,2024-06-30
4,53,2024-06-24,2024-06-30
5,24,2024-06-24,2024-06-30
6,283,2024-06-24,2024-06-30
7,493,2024-06-24,2024-06-30
8,1121,2024-06-24,2024-06-30
9,1189,2024-06-24,2024-06-30
10,1073,2024-06-24,2024-06-30
11,1879,2024-06-24,2024-06-30
12,2029,2024-06-24,2024-06-30
13,2541,2024-06-24,2024-06-30
14,2944,2024-06-24,2024-06-30
15,3283,2024-06-24,2024-06-30
16,3949,2024-06-24,2024-06-30
17,4261,2024-06-24,2024-06-30
18,5073,2024-06-24,2024-06-30
19,4798,2024-06-24,2024-06-30
20,3062,2024-06-24,2024-06-30
21,1267,2024-06-24,2024-06-30
22,391,2024-06-24,2024-06-30
23,150,2024-06-24,2024-06-30
0,286,2024-07-01,2024-07-07
1,275,2024-07-01,2024-07-07
2,200,2024-07-01,2024-07-07
3,142,2024-07-01,2024-07-07
4,166,2024-07-01,2024-07-07
5,174,2024-07-01,2024-07-07
6,210,2024-07-01,2024-07-07
7,479,2024-07-01,2024-07-07
8,674,2024-07-01,2024-07-07
9,1067,2024-07-01,2024-07-07
10,1851,2024-07-01,2024-07-07
11,3212,2024-07-01,2024-07-07
12,4819,2024-07-01,2024-07-07
13,5846,2024-07-01,2024-07-07
14,7408,2024-07-01,2024-07-07
15,7901,2024-07-01,2024-07-07
16,8599,2024-07-01,2024-07-07
17,8415,2024-07-01,2024-07-07
18,8237,2024-07-01,2024-07-07
19,7942,2024-07-01,2024-07-07
20,5625,2024-07-01,2024-07-07
21,2722,2024-07-01,2024-07-07
22,1233,2024-07-01,2024-07-07
23,596,2024-07-01,2024-07-07
0,75,2024-07-08,2024-07-14
1,0,2024-07-08,2024-07-14
2,0,2024-07-08,2024-07-14
3,0,2024-07-08,2024-07-14
4,0,2024-07-08,2024-07-14
5,22,2024-07-08,2024-07-14
6,335,2024-07-08,2024-07-14
7,515,2024-07-08,2024-07-14
8,971,2024-07-08,2024-07-14
9,1133,2024-07-08,2024-07-14
10,1291,2024-07-08,2024-07-14
11,1114,2024-07-08,2024-07-14
12,1391,2024-07-08,2024-07-14
13,1394,2024-07-08,2024-07-14
14,2047,2024-07-08,2024-07-14
15,2697,2024-07-08,2024-07-14
16,3339,2024-07-08,2024-07-14
17,4041,2024-07-08,2024-07-14
18,4600,2024-07-08,2024-07-14
19,4099,2024-07-08,2024-07-14
20,3249,2024-07-08,2024-07-14
21,1736,2024-07-08,2024-07-14
22,545,2024-07-08,2024-07-14
23,179,2024-07-08,2024-07-14
0,589,2024-07-15,2024-07-21
1,508,2024-07-15,2024-07-21
2,280,2024-07-15,2024-07-21
3,236,2024-07-15,2024-07-21
4,143,2024-07-15,2024-07-21
5,143,2024-07-15,2024-07-21
6,236,2024-07-15,2024-07-21
7,406,2024-07-15,2024-07-21
8,1219,2024-07-15,2024-07-21
9,1801,2024-07-15,2024-07-21
10,3278,2024-07-15,2024-07-21
11,4884,2024-07-15,2024-07-21
12,7078,2024-07-15,2024-07-21
13,9826,2024-07-15,2024-07-21
